DATAFLOW,LAST UPDATE,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2020-S1,0.1358,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2020-S2,0.1384,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2021-S1,0.1394,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2021-S2,0.1448,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2022-S1,0.1579,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2022-S2,0.2090,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2023-S1,0.2691,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2023-S2,0.2990,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2024-S1,0.2946,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2024-S2,0.2678,,
ESTAT:NRG_PC_204(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2020-S1,0.1872,,
