DATAFLOW,LAST UPDATE,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2020-S1,0.0877,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2020-S2,0.0871,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2021-S1,0.0884,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2021-S2,0.0961,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2022-S1,0.1437,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2022-S2,0.1717,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2023-S1,0.2554,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2023-S2,0.2431,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2024-S1,0.1955,,
ESTAT:NRG_PC_205(1.0),27/04/25 11:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 500 MWh to 1 999 MWh - band IC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2024-S2,0.1970,,
